River,Station,District,Latitude,Longitude,WarningLevel,DangerLevel
Kelani Ganga,Hanwella,Colombo,6.9097,80.0815,7.0,8.0
Kelani Ganga,Kithulgala,Kegalle,6.9904,80.4177,3.0,4.0
Kalu Ganga,Ratnapura,Ratnapura,6.6828,80.3992,5.2,6.0
Nilwala Ganga,Panadugama,Matara,5.9549,80.5550,5.0,6.0
Gin Ganga,Thawalama,Galle,6.3333,80.2000,4.5,5.5
Attanagalu Oya,Dunamale,Gampaha,7.0833,80.0167,7.0,8.0
Mahaweli Ganga,Peradeniya,Kandy,7.2719,80.5966,6.0,7.0
Deduru Oya,Badalgama,Kurunegala,7.4833,80.3667,4.0,5.0
